,rcept_no,reprt_code,bsns_year,corp_code,stock_code,매출액,영업이익,자산총계
2311,20170331005201,11011,2016,00911955,226320,"267,335,120,631","73,288,747,898","368,859,153,174"
2312,20170331005203,11011,2016,00358271,056190,"1,319,748,300,548","120,809,124,598","1,505,259,884,877"
2313,20170331005216,11011,2016,00172936,004890,"304,359,238,016","12,279,522,955","371,393,725,622"
2314,20170331005218,11011,2016,00302926,064350,"2,984,783,033,000","106,233,799,000","4,473,159,688,000"
2315,20170331005230,11011,2016,00164636,012630,"4,749,886,365,818","517,208,863,121","5,784,577,178,519"
2316,20170331005241,11011,2016,00106368,011780,"3,970,435,496,820","157,076,708,020","4,546,113,635,860"
2317,20170331005246,11011,2016,00125965,111870,"57,243,847,196","4,872,375,595","94,260,279,982"
2318,20170331005250,11011,2016,00159218,051600,"1,223,106,398,233","105,761,625,707","1,092,468,725,437"
2319,20170331005254,11011,2016,00937324,161390,"6,621,762,292,163","1,103,227,758,751","9,621,973,238,753"
2320,20170331005257,11011,2016,00271501,045970,"396,061,921,654","13,556,717,474","325,515,777,674"
2321,20170331005278,11011,2016,00385415,068330,"13,357,238,839","3,008,843,744","37,658,698,184"
2322,20170331005280,11011,2016,00585538,095910,"304,638,919,708","6,078,887,017","345,540,953,996"
2323,20170331005282,11011,2016,00402110,131090,"21,267,895,762","2,230,580,202","29,578,465,884"
2324,20170331005283,11011,2016,00156691,005430,"472,598,315,674","26,791,641,915","373,405,153,945"
2325,20170331005303,11011,2016,00642541,127120,"11,483,885,451","-6,342,292,465","25,860,315,851"
2326,20170331005305,11011,2016,00219440,028080,"5,619,171,339","3,450,825,331","221,495,410,850"
2327,20170331005320,11011,2016,00220057,032620,"68,244,069,469","6,339,602,867","64,810,406,115"
2328,20170331005323,11011,2016,00173874,002350,"1,894,702,700,317","248,020,325,030","2,617,913,244,504"
2329,20170331005328,11011,2016,00126478,010140,"10,414,188,640,168","-147,199,515,568","17,217,462,678,653"
2330,20170331005341,11011,2016,00161693,009240,"1,934,547,148,891","159,593,398,972","899,418,180,661"
2331,20170331005355,11011,2016,00164609,010620,"4,219,552,229,000","207,510,242,000","9,226,316,948,000"
2332,20170331005370,11011,2016,00165413,011170,"13,223,540,873,785","2,544,253,936,085","15,866,834,169,901"
2333,20170331005372,11011,2016,00753643,109070,"45,974,763,461","-8,886,097,275","78,594,379,582"
2334,20170331005383,11011,2016,00136086,009200,"1,131,454,263,835","42,061,578,020","1,904,532,337,833"
2335,20170331005386,11011,2016,00152862,002020,"3,936,858,958,832","136,872,654,836","3,333,623,695,266"
2336,20170331005391,11011,2016,00126089,000300,"434,112,970,778","10,364,596,266","945,163,529,405"
2337,20170331005403,11011,2016,00526696,095270,"44,710,151,254","-3,094,836,987","89,023,206,670"
